date,temperature,pressure,pattern,wind_speed,wind_degree
2016-01-01,53.6,1020.7,N/A,6.5,None
2016-01-02,43.16,1022.1,N/A,7.2,278.4
2016-01-03,40.64,1016.2,N/A,4.7,None
2016-01-04,39.019999999999996,1020.5,N/A,15.8,357.1
2016-01-05,30.56,1033.9,N/A,10.8,None
2016-01-06,31.28,1032.5,N/A,8.6,None
2016-01-07,41.54,1023.2,N/A,9.4,21.3
2016-01-08,42.980000000000004,None,N/A,8.6,28.1
2016-01-09,45.5,1015.0,N/A,9.7,None
2016-01-10,50.540000000000006,1007.1,N/A,18.0,267.0
2016-01-11,35.6,1020.4,N/A,6.5,None
2016-01-12,38.480000000000004,1017.0,N/A,15.8,236.8
2016-01-13,39.019999999999996,1020.6,N/A,7.2,None
2016-01-14,40.82,1018.9,N/A,8.6,None
2016-01-15,43.879999999999995,None,N/A,10.8,None
2016-01-16,49.28,1006.7,N/A,12.6,253.1
2016-01-17,41.9,None,N/A,12.6,None
2016-01-18,33.26,1019.5,N/A,12.2,314.0
2016-01-19,24.98,1028.4,N/A,7.2,None
2016-01-20,28.58,1026.1,N/A,5.4,None
2016-01-21,35.42,1023.5,N/A,6.1,None
2016-01-22,32.9,None,N/A,19.1,50.2
2016-01-23,29.48,1006.2,N/A,14.8,321.8
2016-01-24,32.72,1019.5,N/A,6.5,None
2016-01-25,39.92,1024.1,N/A,7.6,None
2016-01-26,44.6,1022.4,N/A,6.5,None
2016-01-27,49.64,1019.1,N/A,9.0,None
2016-01-28,41.72,1013.7,N/A,5.8,None
2016-01-29,42.8,1010.2,N/A,7.2,None
2016-01-30,42.620000000000005,1019.8,N/A,8.6,None
2016-01-31,49.82,1017.6,N/A,12.2,None
2016-02-01,57.92,1014.6,N/A,14.0,215.6
2016-02-02,56.120000000000005,None,N/A,11.5,None
2016-02-03,61.16,1014.2,N/A,21.2,175.9
2016-02-04,57.74,1015.1,N/A,10.1,None
2016-02-05,44.42,1025.4,N/A,16.6,353.0
2016-02-06,37.76,1028.1,N/A,7.9,None
2016-02-07,43.34,1017.4,N/A,12.6,None
2016-02-08,39.92,1007.6,N/A,8.3,None
2016-02-09,37.04,1007.0,N/A,13.7,284.4
2016-02-10,29.48,1014.6,N/A,9.7,None
2016-02-11,31.28,1021.8,N/A,6.1,None
2016-02-12,33.98,None,N/A,7.2,None
2016-02-13,34.88,1024.6,N/A,14.0,340.8
2016-02-14,25.16,1031.2,N/A,10.8,77.8
2016-02-15,29.12,1023.3,N/A,10.4,51.7
2016-02-16,41.36,1008.1,N/A,6.1,None
2016-02-17,47.480000000000004,1018.7,N/A,9.4,None
2016-02-18,42.44,1030.2,N/A,7.9,None
2016-02-19,45.68,1030.6,N/A,12.6,None
2016-02-20,51.620000000000005,1022.4,N/A,12.2,215.9
2016-02-21,56.84,1016.1,N/A,12.6,None
2016-02-22,59.900000000000006,None,N/A,11.2,None
2016-02-23,48.2,1015.2,N/A,14.4,40.4
2016-02-24,56.120000000000005,1001.4,N/A,30.2,174.6
2016-02-25,47.120000000000005,1009.5,N/A,22.3,269.0
2016-02-26,41.54,1019.7,N/A,11.9,302.8
2016-02-27,39.92,1022.8,N/A,7.2,None
2016-02-28,47.120000000000005,1020.0,N/A,10.4,None
2016-02-29,59.72,1015.2,N/A,15.5,236.8
2016-03-01,58.28,1014.3,N/A,15.5,None
2016-03-02,53.96,1014.6,N/A,13.7,None
2016-03-03,39.019999999999996,1021.1,N/A,9.4,None
2016-03-04,43.879999999999995,1017.0,N/A,12.2,357.6
2016-03-05,45.68,1021.1,N/A,7.9,None
2016-03-06,49.46,1023.4,N/A,8.3,None
2016-03-07,51.26,1026.1,N/A,8.6,None
2016-03-08,59.540000000000006,1024.2,N/A,11.9,212.2
2016-03-09,63.68000000000001,1023.4,N/A,13.7,209.6
2016-03-10,66.02,1022.3,N/A,15.5,198.8
2016-03-11,68.72,1020.9,N/A,9.0,None
2016-03-12,69.25999999999999,1020.5,N/A,11.2,None
2016-03-13,67.82,None,N/A,11.5,None
2016-03-14,67.82,1009.5,N/A,12.2,None
2016-03-15,65.66,1010.2,N/A,7.9,None
2016-03-16,71.42,1009.6,N/A,10.8,247.3
2016-03-17,65.66,1012.6,N/A,7.6,None
2016-03-18,63.68000000000001,1013.8,N/A,9.0,None
2016-03-19,60.8,1011.9,N/A,16.9,131.5
2016-03-20,44.96,1014.0,N/A,12.2,None
2016-03-21,45.32,1019.2,N/A,10.8,300.1
2016-03-22,50.0,1023.8,N/A,10.8,None
2016-03-23,61.16,1020.7,N/A,18.4,217.9
2016-03-24,62.96,1016.2,N/A,19.1,182.5
2016-03-25,67.64,1010.1,N/A,15.5,198.5
2016-03-26,61.519999999999996,1020.0,N/A,7.9,None
2016-03-27,57.56,1020.7,N/A,9.0,None
2016-03-28,63.14,None,N/A,10.8,None
2016-03-29,56.66,1019.8,N/A,9.4,None
2016-03-30,55.58,1024.1,N/A,13.0,None
2016-03-31,64.94,1015.7,N/A,16.2,172.9
2016-04-01,66.56,1009.0,N/A,17.6,202.0
2016-04-02,64.58000000000001,None,N/A,15.8,None
2016-04-03,56.66,1015.5,N/A,10.8,None
2016-04-04,59.72,1016.1,N/A,12.6,None
2016-04-05,56.480000000000004,1021.4,N/A,16.2,7.0
2016-04-06,48.019999999999996,1024.0,N/A,14.0,161.0
2016-04-07,58.82,1006.4,N/A,19.1,236.4
2016-04-08,54.14,1009.8,N/A,10.8,None
2016-04-09,49.1,1015.6,N/A,15.1,308.5
2016-04-10,44.96,1027.1,N/A,11.2,None
2016-04-11,56.120000000000005,1023.9,N/A,14.0,190.1
2016-04-12,64.03999999999999,None,N/A,13.7,184.3
2016-04-13,58.82,1023.8,N/A,12.6,None
2016-04-14,58.1,1023.1,N/A,13.0,73.4
2016-04-15,57.92,1025.1,N/A,16.2,65.9
2016-04-16,58.28,1027.6,N/A,12.2,52.8
2016-04-17,58.28,1028.6,N/A,6.5,None
2016-04-18,62.96,1025.3,N/A,4.3,None
2016-04-19,70.52,1019.8,N/A,6.1,None
2016-04-20,69.62,1020.0,N/A,15.8,69.9
2016-04-21,69.98,1019.6,N/A,16.9,175.3
2016-04-22,67.1,1015.1,N/A,8.6,None
2016-04-23,66.56,1012.6,N/A,12.2,None
2016-04-24,63.31999999999999,1017.8,N/A,7.9,None
2016-04-25,67.64,1016.8,N/A,13.0,199.8
2016-04-26,71.06,None,N/A,13.0,None
2016-04-27,74.48,1010.0,N/A,13.0,210.3
2016-04-28,75.02,1011.0,N/A,12.2,211.6
2016-04-29,73.58000000000001,1013.7,N/A,7.9,None
2016-04-30,70.34,1016.4,N/A,11.5,None
2016-05-01,69.25999999999999,None,N/A,15.5,None
2016-05-02,71.06,None,N/A,10.1,None
2016-05-03,69.44,1009.2,N/A,8.6,None
2016-05-04,65.48,None,N/A,4.7,None
2016-05-05,58.28,1003.5,N/A,14.0,336.4
2016-05-06,55.94,1008.7,N/A,13.0,309.5
2016-05-07,62.24,1010.2,N/A,12.2,None
2016-05-08,72.68,1011.6,N/A,10.8,277.7
2016-05-09,74.12,1017.2,N/A,6.8,None
2016-05-10,73.58000000000001,1019.5,N/A,10.8,None
2016-05-11,72.14,1019.7,N/A,7.2,None
2016-05-12,75.2,1017.3,N/A,6.1,None
2016-05-13,70.88,None,N/A,7.9,301.1
2016-05-14,68.0,1011.2,N/A,10.8,289.2
2016-05-15,59.900000000000006,1017.1,N/A,11.2,317.1
2016-05-16,60.08,1022.6,N/A,8.6,None
2016-05-17,65.66,None,N/A,8.3,None
2016-05-18,66.92,None,N/A,12.2,50.3
2016-05-19,61.88,None,N/A,13.0,56.8
2016-05-20,58.82,1021.0,N/A,10.1,None
2016-05-21,65.12,None,N/A,7.2,None
2016-05-22,66.38,1011.6,N/A,11.5,336.1
2016-05-23,62.78,1015.0,N/A,10.8,None
2016-05-24,65.48,1019.6,N/A,6.5,None
2016-05-25,72.32,1021.9,N/A,5.0,None
2016-05-26,75.2,1020.2,N/A,10.1,192.8
2016-05-27,75.74000000000001,1019.3,N/A,11.5,186.1
2016-05-28,74.48,1020.3,N/A,5.8,None
2016-05-29,72.32,1018.1,N/A,14.4,5.9
2016-05-30,73.03999999999999,None,N/A,13.3,14.1
2016-05-31,76.46000000000001,1013.8,N/A,9.0,None
2016-06-01,74.66,1015.8,N/A,6.5,None
2016-06-02,76.1,None,N/A,6.8,None
2016-06-03,77.36,1016.5,N/A,5.4,None
2016-06-04,80.06,1014.3,N/A,9.0,None
2016-06-05,76.1,1010.8,N/A,14.0,203.9
2016-06-06,74.84,None,N/A,11.5,212.5
2016-06-07,77.36,1005.5,N/A,9.4,289.0
2016-06-08,72.14,None,N/A,9.4,None
2016-06-09,72.32,1016.6,N/A,8.6,None
2016-06-10,74.84,1018.5,N/A,7.6,None
2016-06-11,80.78,1018.5,N/A,9.4,None
2016-06-12,83.12,1015.2,N/A,10.1,278.8
2016-06-13,82.03999999999999,1013.0,N/A,11.2,None
2016-06-14,82.58000000000001,None,N/A,9.4,None
2016-06-15,78.80000000000001,1012.7,N/A,7.6,None
2016-06-16,82.22,1008.6,N/A,9.7,262.4
2016-06-17,81.14,1008.7,N/A,16.2,348.3
2016-06-18,75.38,1020.8,N/A,19.4,55.0
2016-06-19,73.4,1027.2,N/A,7.9,None
2016-06-20,73.03999999999999,1024.0,N/A,7.6,None
2016-06-21,78.62,1017.4,N/A,12.2,214.5
2016-06-22,82.94,1015.8,N/A,9.0,194.8
2016-06-23,85.28,1014.8,N/A,14.8,215.7
2016-06-24,83.30000000000001,1015.0,N/A,23.8,None
2016-06-25,82.58000000000001,1018.0,N/A,15.5,32.4
2016-06-26,79.88,1020.9,N/A,11.9,None
2016-06-27,80.42,1018.1,N/A,9.7,168.0
2016-06-28,75.56,1015.0,N/A,6.1,None
2016-06-29,78.08000000000001,1013.8,N/A,7.6,None
2016-06-30,75.56,None,N/A,9.4,None
2016-07-01,78.62,1014.9,N/A,7.9,None
2016-07-02,82.03999999999999,1015.8,N/A,6.1,None
2016-07-03,82.75999999999999,1016.6,N/A,11.9,None
2016-07-04,80.42,1016.4,N/A,9.7,None
2016-07-05,83.48,1014.4,N/A,13.7,None
2016-07-06,80.96000000000001,1015.1,N/A,11.2,232.9
2016-07-07,78.80000000000001,1013.3,N/A,11.5,232.2
2016-07-08,81.32,1013.7,N/A,9.0,None
2016-07-09,79.88,1013.8,N/A,8.3,None
2016-07-10,82.03999999999999,1015.4,N/A,6.1,None
2016-07-11,80.96000000000001,1017.2,N/A,6.8,None
2016-07-12,79.7,1018.0,N/A,6.1,None
2016-07-13,82.22,1018.1,N/A,5.4,None
2016-07-14,84.92,1016.1,N/A,8.3,None
2016-07-15,84.74000000000001,1015.5,N/A,10.1,None
2016-07-16,75.74000000000001,None,N/A,7.6,None
2016-07-17,75.74000000000001,1022.0,N/A,6.8,None
2016-07-18,80.42,1022.4,N/A,6.8,None
2016-07-19,82.58000000000001,1021.0,N/A,6.5,None
2016-07-20,82.22,1021.0,N/A,9.7,61.0
2016-07-21,81.86,1020.4,N/A,9.4,None
2016-07-22,82.03999999999999,1017.7,N/A,6.5,None
2016-07-23,80.96000000000001,1015.3,N/A,6.1,None
2016-07-24,83.48,1015.9,N/A,6.8,None
2016-07-25,86.36,1015.9,N/A,11.2,201.4
2016-07-26,86.53999999999999,1015.3,N/A,8.6,None
2016-07-27,87.08000000000001,1014.5,N/A,9.4,None
2016-07-28,87.44,1012.8,N/A,16.9,231.6
2016-07-29,84.92,1012.9,N/A,9.4,None
2016-07-30,82.03999999999999,1014.3,N/A,6.8,None
2016-07-31,82.94,1015.7,N/A,10.8,None
2016-08-01,82.4,1017.6,N/A,8.6,None
2016-08-02,78.98,1016.7,N/A,8.6,None
2016-08-03,77.72,1016.2,N/A,11.9,86.3
2016-08-04,78.98,None,N/A,13.3,84.7
2016-08-05,79.88,1015.0,N/A,10.4,None
2016-08-06,82.03999999999999,1012.0,N/A,6.1,None
2016-08-07,81.68,1012.4,N/A,7.9,None
2016-08-08,79.52,None,N/A,11.2,97.9
2016-08-09,80.06,None,N/A,15.1,120.7
2016-08-10,79.34,1021.7,N/A,13.3,131.7
2016-08-11,81.14,1020.3,N/A,11.2,142.7
2016-08-12,82.94,None,N/A,8.6,None
2016-08-13,84.2,1016.5,N/A,12.6,215.5
2016-08-14,84.38,1018.9,N/A,11.2,190.6
2016-08-15,84.02,1021.2,N/A,8.3,None
2016-08-16,83.30000000000001,1022.1,N/A,10.4,191.0
2016-08-17,84.74000000000001,1020.5,N/A,10.4,None
2016-08-18,82.4,1018.4,N/A,8.3,None
2016-08-19,77.72,1015.6,N/A,5.4,None
2016-08-20,78.80000000000001,1012.4,N/A,6.1,None
2016-08-21,80.78,None,N/A,10.1,245.4
2016-08-22,77.36,1019.0,N/A,9.7,None
2016-08-23,78.98,1023.9,N/A,8.6,None
2016-08-24,79.52,1023.8,N/A,9.4,None
2016-08-25,81.86,1020.2,N/A,7.2,None
2016-08-26,84.56,1018.3,N/A,7.9,None
2016-08-27,82.4,1018.9,N/A,7.6,None
2016-08-28,79.7,1020.5,N/A,11.2,45.5
2016-08-29,80.78,1019.6,N/A,10.8,25.0
2016-08-30,80.06,1018.0,N/A,9.0,13.2
2016-08-31,82.22,1014.7,N/A,7.9,None
2016-09-01,78.80000000000001,1012.3,N/A,8.3,None
2016-09-02,71.78,None,N/A,21.6,29.4
2016-09-03,71.96000000000001,1017.4,N/A,13.3,8.4
2016-09-04,73.58000000000001,1022.4,N/A,7.2,None
2016-09-05,75.02,1023.1,N/A,4.7,None
2016-09-06,77.18,1021.6,N/A,6.1,None
2016-09-07,78.44,1020.3,N/A,6.8,None
2016-09-08,80.24000000000001,1017.2,N/A,6.5,None
2016-09-09,81.32,1016.2,N/A,7.9,184.1
2016-09-10,82.22,1016.5,N/A,9.4,191.1
2016-09-11,81.32,1017.3,N/A,10.1,None
2016-09-12,77.36,1020.0,N/A,11.2,66.2
2016-09-13,77.36,1021.4,N/A,7.9,None
2016-09-14,78.44,None,N/A,10.4,92.5
2016-09-15,78.98,1018.6,N/A,10.4,None
2016-09-16,77.9,1021.2,N/A,13.0,71.2
2016-09-17,76.1,1020.8,N/A,7.9,None
2016-09-18,77.18,1016.6,N/A,5.8,None
2016-09-19,79.88,1014.0,N/A,10.4,None
2016-09-20,77.36,None,N/A,15.8,21.7
2016-09-21,75.56,None,N/A,20.5,14.4
2016-09-22,73.4,1017.3,N/A,15.8,12.9
2016-09-23,75.56,None,N/A,9.4,None
2016-09-24,77.72,1017.3,N/A,5.8,None
2016-09-25,78.25999999999999,1018.3,N/A,8.3,None
2016-09-26,76.28,1017.9,N/A,11.2,142.6
2016-09-27,73.58000000000001,1013.7,N/A,5.8,None
