date,temperature,pressure,pattern,wind_speed,wind_degree
2015-01-01,15.259999999999998,1022.0,0,9.3,0
2015-01-02,21.740000000000002,1017.7,0,13.3,181.0
2015-01-03,17.42,1017.0,0,15.4,130.0
2015-01-04,12.920000000000002,1029.4,0,9.3,0
2015-01-05,0,0,0,0,0
2015-01-06,40.28,1026.1,0,14.6,141.0
2015-01-07,0,0,0,0,0
2015-01-08,0,0,0,0,0
2015-01-09,0,0,0,0,0
2015-01-10,0,0,0,0,0
2015-01-11,0,0,0,0,0
2015-01-12,0,0,0,0,0
2015-01-13,0,0,0,0,0
2015-01-14,0,0,0,0,0
2015-01-15,37.94,1024.2,0,16.0,174.0
2015-01-16,44.78,1013.9,0,15.6,0
2015-01-17,42.26,1018.2,0,24.8,276.0
2015-01-18,47.480000000000004,1015.8,0,18.1,234.0
2015-01-19,45.32,1015.2,0,14.4,0
2015-01-20,32.36,1020.8,0,10.3,96.0
2015-01-21,24.259999999999998,1026.2,0,8.3,0
2015-01-22,21.02,1028.5,0,14.6,188.0
2015-01-23,32.18,1024.6,0,12.9,177.0
2015-01-24,39.2,1018.4,0,18.3,236.0
2015-01-25,43.52,1019.9,0,10.9,0
2015-01-26,50.540000000000006,1021.0,0,15.7,177.0
2015-01-27,53.42,1015.6,0,17.2,205.0
2015-01-28,46.58,1016.3,0,17.9,272.0
2015-01-29,38.3,1029.4,0,14.5,0
2015-01-30,38.480000000000004,1020.7,0,10.2,292.0
2015-01-31,32.18,1012.3,0,5.4,0
2015-02-01,20.299999999999997,1022.5,0,12.4,94.0
2015-02-02,35.06,1016.8,0,12.6,0
2015-02-03,44.42,1012.0,0,13.2,0
2015-02-04,0,0,0,0,0
2015-02-05,45.14,1018.7,0,14.1,206.0
2015-02-06,54.5,1013.2,0,14.9,203.0
2015-02-07,55.58,1008.1,0,19.8,234.0
2015-02-08,50.72,1015.2,0,17.9,207.0
2015-02-09,50.540000000000006,1014.6,0,14.5,0
2015-02-10,44.42,1015.0,0,12.4,0
2015-02-11,37.04,1027.9,0,8.0,0
2015-02-12,0,0,0,0,0
2015-02-13,47.3,1022.0,0,11.4,0
2015-02-14,49.46,1016.6,0,11.1,0
2015-02-15,30.74,1018.0,0,12.2,1.0
2015-02-16,25.16,1022.2,0,8.6,6.0
2015-02-17,22.1,1022.2,0,12.2,167.0
2015-02-18,30.2,1021.5,0,11.4,0
2015-02-19,44.96,1013.1,0,12.1,0
2015-02-20,38.84,1008.8,0,13.5,0
2015-02-21,25.7,1017.3,0,14.3,53.0
2015-02-22,9.68,1032.4,0,13.7,28.0
2015-02-23,10.759999999999998,1030.5,0,7.1,0
2015-02-24,26.24,1020.9,0,14.8,183.0
2015-02-25,0,0,0,0,0
2015-02-26,12.02,1025.7,0,17.8,98.0
2015-02-27,9.5,1021.4,0,12.2,0
2015-02-28,11.3,1020.5,0,6.9,0
2015-03-01,18.32,1026.6,0,8.5,0
2015-03-02,23.72,1013.3,0,8.1,0
2015-03-03,23.0,1011.0,0,13.2,23.0
2015-03-04,11.48,1025.6,0,11.7,89.0
2015-03-05,24.98,1027.1,0,13.5,168.0
2015-03-06,0,0,0,0,0
2015-03-07,0,0,0,0,0
2015-03-08,0,0,0,0,0
2015-03-09,43.16,1014.9,0,13.0,0
2015-03-10,44.96,1017.3,0,12.6,151.0
2015-03-11,49.82,1019.5,0,15.3,0
