date,temperature,pressure,pattern,wind_speed,wind_degree
2015-01-01,15.440000000000001,0,0,13.0,227.0
2015-01-02,21.2,1017.3,0,15.8,204.0
2015-01-03,16.88,0,0,19.8,114.0
2015-01-04,0,1029.9,0,10.8,0
2015-01-05,0,1021.7,0,24.8,0
2015-01-06,37.58,0,0,14.8,0
2015-01-07,18.68,1038.5,0,12.2,0
2015-01-08,38.84,0,0,21.2,0
2015-01-09,21.2,1027.4,0,8.6,0
2015-01-10,37.58,0,0,14.4,0
2015-01-11,33.62,0,0,13.0,0
2015-01-12,24.08,1027.8,0,13.7,0
2015-01-13,26.6,1025.4,0,10.4,0
2015-01-14,29.66,1024.0,0,9.4,0
2015-01-15,0,0,0,18.0,176.0
2015-01-16,46.22,0,0,20.5,228.0
2015-01-17,44.24,1017.1,0,28.1,274.0
2015-01-18,48.74,1014.8,0,17.3,0
2015-01-19,44.42,1015.1,0,15.5,0
2015-01-20,31.82,0,0,9.4,0
2015-01-21,25.7,1025.9,0,11.2,70.0
2015-01-22,21.92,1028.0,0,16.9,203.0
2015-01-23,33.26,1024.1,0,15.8,0
2015-01-24,40.46,1017.6,0,21.6,244.0
2015-01-25,42.44,1019.7,0,14.0,222.0
2015-01-26,50.72,1020.4,0,17.3,0
2015-01-27,54.68,1014.8,0,19.8,219.0
2015-01-28,48.2,1015.3,0,23.8,299.0
2015-01-29,39.019999999999996,1029.1,0,14.8,0
2015-01-30,38.3,1020.5,0,9.7,0
2015-01-31,33.44,0,0,9.0,0
2015-02-01,25.52,1022.4,0,15.1,0
2015-02-02,26.6,1016.9,0,15.1,0
2015-02-03,45.5,1010.6,0,15.5,0
2015-02-04,36.68,0,0,17.6,0
2015-02-05,37.76,1018.2,0,17.6,0
2015-02-06,55.76,1012.0,0,19.4,218.0
2015-02-07,55.94,1007.3,0,22.0,248.0
2015-02-08,53.96,1014.7,0,18.7,0
2015-02-09,46.76,1014.7,0,14.4,0
2015-02-10,47.84,1014.7,0,13.7,0
2015-02-11,40.1,1027.5,0,10.4,0
2015-02-12,40.82,1022.2,0,16.9,181.0
2015-02-13,46.94,1021.6,0,15.5,156.0
2015-02-14,48.56,1016.2,0,11.9,0
2015-02-15,36.14,1018.2,0,14.4,356.0
2015-02-16,28.04,0,0,12.6,0
2015-02-17,24.8,1021.5,0,15.1,191.0
2015-02-18,26.42,1021.3,0,14.8,159.0
2015-02-19,40.82,1012.8,0,14.0,0
2015-02-20,42.980000000000004,1008.5,0,15.1,0
2015-02-21,31.46,0,0,17.3,0
2015-02-22,13.099999999999998,0,0,14.4,41.0
2015-02-23,10.219999999999999,0,0,8.6,0
2015-02-24,21.560000000000002,1020.6,0,16.2,195.0
2015-02-25,32.18,0,0,19.4,0
2015-02-26,16.340000000000003,0,0,17.6,84.0
2015-02-27,9.14,0,0,14.0,0
2015-02-28,10.04,0,0,7.2,0
2015-03-01,16.340000000000003,0,0,8.3,0
2015-03-02,22.28,1013.1,0,10.4,0
2015-03-03,26.6,1010.9,0,18.4,0
2015-03-04,14.54,0,0,14.8,0
2015-03-05,19.58,1026.9,0,15.5,212.0
2015-03-06,32.54,1025.5,0,13.7,0
2015-03-07,38.84,1022.2,0,16.9,212.0
2015-03-08,40.28,0,0,13.0,0
2015-03-09,41.9,1014.6,0,11.2,0
2015-03-10,46.58,1016.4,0,14.4,0
2015-03-11,47.480000000000004,1019.4,0,14.8,0
2015-03-12,52.16,1017.9,0,16.6,0
2015-03-13,51.08,1025.3,0,13.7,0
2015-03-14,48.56,1023.4,0,18.4,0
2015-03-15,58.28,1016.3,0,22.3,0
2015-03-16,62.96,1012.9,0,22.3,233.0
2015-03-17,49.1,1021.2,0,23.8,135.0
2015-03-18,47.480000000000004,1011.1,0,10.8,0
2015-03-19,46.04,1017.4,0,13.0,0
2015-03-20,45.5,1019.5,0,13.7,0
2015-03-21,51.980000000000004,1014.8,0,17.6,191.0
2015-03-22,54.5,1013.0,0,16.9,0
2015-03-23,53.96,1009.7,0,23.0,0
2015-03-24,51.26,1009.0,0,22.3,263.0
2015-03-25,41.0,0,0,17.3,21.0
2015-03-26,41.72,1020.7,0,13.7,0
2015-03-27,52.7,1016.9,0,12.2,0
2015-03-28,60.8,1011.1,0,22.3,245.0
2015-03-29,55.22,1017.7,0,18.0,0
2015-03-30,54.32,1015.9,0,11.5,0
2015-03-31,58.1,1010.2,0,14.8,0
2015-04-01,60.620000000000005,0,0,18.0,0
2015-04-02,40.64,0,0,20.5,22.0
2015-04-03,33.26,0,0,12.2,0
2015-04-04,41.72,1016.4,0,15.5,0
2015-04-05,51.620000000000005,0,0,14.8,0
2015-04-06,57.92,1000.8,0,19.4,0
2015-04-07,51.44,0,0,16.9,0
2015-04-08,50.72,1002.4,0,19.8,0
2015-04-09,41.72,1015.1,0,20.5,0
2015-04-10,45.14,1016.2,0,13.7,0
2015-04-11,52.34,1008.5,0,16.2,0
2015-04-12,56.66,0,0,27.4,249.0
2015-04-13,48.56,1018.0,0,17.3,0
2015-04-14,56.84,1008.8,0,24.5,0
2015-04-15,56.66,0,0,24.8,345.0
2015-04-16,35.78,0,0,22.0,332.0
2015-04-17,37.22,0,0,15.8,0
2015-04-18,42.44,0,0,14.8,0
2015-04-19,42.980000000000004,1016.5,0,24.5,0
2015-04-20,41.36,1013.9,0,10.1,0
2015-04-21,48.74,1010.4,0,13.0,0
2015-04-22,52.34,1009.0,0,16.9,0
2015-04-23,56.3,1004.9,0,13.7,0
2015-04-24,53.96,1001.2,0,13.7,0
2015-04-25,53.78,1001.9,0,16.2,0
2015-04-26,46.04,0,0,23.8,71.0
2015-04-27,40.46,0,0,9.4,0
2015-04-28,46.94,0,0,11.2,0
2015-04-29,53.96,1013.4,0,14.0,0
2015-04-30,62.78,0,0,16.9,0
2015-05-01,56.120000000000005,0,0,10.8,0
2015-05-02,60.08,1010.0,0,16.6,0
2015-05-03,60.620000000000005,1009.6,0,18.7,171.0
2015-05-04,52.879999999999995,1014.8,0,13.7,0
2015-05-05,51.26,0,0,18.4,89.0
2015-05-06,53.24,0,0,12.2,0
2015-05-07,49.82,1010.3,0,13.0,0
2015-05-08,49.46,0,0,20.9,100.0
2015-05-09,47.120000000000005,0,0,24.1,0
2015-05-10,32.9,1017.1,0,15.5,0
2015-05-11,40.82,1020.5,0,11.2,0
2015-05-12,50.540000000000006,1013.8,0,14.4,0
2015-05-13,56.480000000000004,1008.7,0,18.4,271.0
2015-05-14,56.84,1009.3,0,17.3,0
2015-05-15,57.019999999999996,1002.4,0,11.5,0
2015-05-16,53.06,0,0,14.4,0
2015-05-17,53.24,1010.2,0,13.3,0
2015-05-18,49.46,1022.8,0,14.4,0
2015-05-19,46.58,1017.8,0,24.5,0
2015-05-20,39.74,0,0,13.0,64.0
2015-05-21,44.78,1019.9,0,13.3,0
2015-05-22,50.18,0,0,13.3,0
2015-05-23,51.26,0,0,9.7,0
2015-05-24,49.82,1008.4,0,12.6,0
2015-05-25,53.24,1009.0,0,11.9,0
2015-05-26,56.66,0,0,13.0,0
2015-05-27,60.620000000000005,0,0,13.7,0
2015-05-28,62.42,1011.4,0,13.0,0
2015-05-29,57.379999999999995,1018.2,0,15.1,0
2015-05-30,55.22,1019.9,0,13.7,0
2015-05-31,66.56,1012.6,0,17.6,0
2015-06-01,68.18,1010.9,0,19.4,0
2015-06-02,69.08000000000001,1006.5,0,15.1,0
2015-06-03,64.22,0,0,14.4,0
2015-06-04,64.03999999999999,0,0,15.8,0
2015-06-05,64.03999999999999,0,0,12.2,139.0
2015-06-06,62.78,1010.9,0,11.5,0
2015-06-07,64.58000000000001,1013.0,0,12.2,0
2015-06-08,63.68000000000001,1016.1,0,11.9,0
2015-06-09,70.52,1011.2,0,17.3,168.0
2015-06-10,67.28,1006.7,0,12.2,101.0
2015-06-11,65.48,0,0,13.3,0
2015-06-12,59.72,0,0,11.5,0
2015-06-13,67.64,1006.3,0,16.6,0
2015-06-14,69.25999999999999,1008.4,0,16.2,0
2015-06-15,62.6,1017.0,0,12.2,0
2015-06-16,66.74000000000001,0,0,18.4,0
2015-06-17,66.92,1013.7,0,11.2,0
2015-06-18,67.46000000000001,1013.9,0,12.6,0
2015-06-19,75.02,1008.2,0,14.0,0
2015-06-20,73.58000000000001,1009.0,0,12.2,0
2015-06-21,74.48,1007.5,0,17.3,0
2015-06-22,72.68,1011.9,0,15.8,0
2015-06-23,71.96000000000001,0,0,15.5,0
2015-06-24,76.28,0,0,19.8,227.0
2015-06-25,70.88,1013.2,0,15.1,0
2015-06-26,68.36,1019.0,0,14.0,51.0
2015-06-27,71.24000000000001,1017.4,0,13.0,0
2015-06-28,74.66,0,0,14.8,0
2015-06-29,72.32,1015.3,0,13.0,0
2015-06-30,76.82,1011.8,0,16.6,0
2015-07-01,77.18,0,0,12.6,0
2015-07-02,67.82,1015.1,0,15.1,0
2015-07-03,68.18,1013.7,0,11.2,0
2015-07-04,76.46000000000001,1007.6,0,15.1,0
2015-07-05,78.08000000000001,1006.9,0,14.4,0
2015-07-06,63.31999999999999,1017.3,0,15.1,40.0
2015-07-07,63.14,1016.0,0,20.2,152.0
2015-07-08,61.16,0,0,13.3,0
2015-07-09,62.78,1012.8,0,11.5,0
2015-07-10,68.18,0,0,13.7,0
2015-07-11,73.03999999999999,0,0,14.8,0
2015-07-12,73.03999999999999,1012.9,0,12.2,0
2015-07-13,77.0,1011.7,0,15.8,0
2015-07-14,73.22,0,0,15.5,0
2015-07-15,69.44,1010.8,0,9.7,0
2015-07-16,71.24000000000001,1010.3,0,15.1,0
2015-07-17,76.64,0,0,17.6,0
2015-07-18,72.14,0,0,13.7,157.0
2015-07-19,66.56,1015.4,0,9.4,0
2015-07-20,72.5,1015.2,0,14.4,0
2015-07-21,68.72,1010.5,0,16.2,0
2015-07-22,71.24000000000001,1008.2,0,15.1,0
2015-07-23,77.36,1009.4,0,13.0,0
2015-07-24,77.53999999999999,1012.4,0,14.4,0
2015-07-25,77.36,1010.9,0,16.9,129.0
2015-07-26,78.25999999999999,1008.8,0,17.6,0
2015-07-27,77.72,1004.1,0,13.7,0
2015-07-28,74.48,1011.6,0,23.0,116.0
2015-07-29,71.24000000000001,1018.0,0,22.0,162.0
2015-07-30,74.48,1018.0,0,15.8,0
2015-07-31,76.82,1017.3,0,16.6,0
2015-08-01,77.36,1011.8,0,16.9,0
2015-08-02,78.44,0,0,15.1,0
2015-08-03,74.84,1010.4,0,17.3,0
2015-08-04,72.14,1010.3,0,13.3,0
2015-08-05,76.46000000000001,1010.2,0,16.6,0
2015-08-06,80.42,1008.1,0,13.7,0
2015-08-07,76.82,1007.9,0,14.4,0
2015-08-08,72.32,1008.9,0,12.2,0
2015-08-09,74.84,0,0,14.0,0
2015-08-10,70.34,0,0,18.0,0
2015-08-11,71.42,1017.4,0,14.4,0
2015-08-12,72.5,1017.2,0,11.9,0
2015-08-13,79.7,1016.1,0,15.5,0
2015-08-14,78.25999999999999,0,0,17.6,0
2015-08-15,79.52,1012.3,0,14.4,0
2015-08-16,75.92,1013.1,0,20.2,0
2015-08-17,69.08000000000001,1010.7,0,14.8,0
2015-08-18,62.24,1011.3,0,19.4,0
2015-08-19,56.480000000000004,1015.5,0,11.5,0
2015-08-20,66.74000000000001,1008.4,0,17.3,0
2015-08-21,73.94,1005.2,0,18.7,0
2015-08-22,76.46000000000001,1008.3,0,23.0,176.0
2015-08-23,61.34,1019.2,0,11.5,0
2015-08-24,70.34,1016.1,0,12.6,0
2015-08-25,76.46000000000001,1015.0,0,16.2,0
2015-08-26,78.25999999999999,1012.9,0,16.6,202.0
2015-08-27,74.12,1012.2,0,15.5,0
2015-08-28,71.6,1015.6,0,13.3,291.0
2015-08-29,72.86,1015.1,0,18.4,0
2015-08-30,78.98,1008.7,0,14.8,0
2015-08-31,77.18,1010.3,0,11.2,0
2015-09-01,69.44,1011.7,0,14.0,0
2015-09-02,75.02,1009.5,0,13.7,0
2015-09-03,75.38,1008.1,0,13.7,0
2015-09-04,67.82,1008.1,0,16.9,213.0
2015-09-05,73.94,0,0,13.7,0
2015-09-06,73.58000000000001,1010.7,0,14.4,0
2015-09-07,69.62,1012.3,0,14.8,264.0
2015-09-08,67.46000000000001,1013.8,0,14.0,146.0
2015-09-09,70.88,1012.4,0,14.0,203.0
2015-09-10,70.88,1012.7,0,14.8,344.0
2015-09-11,64.22,1018.7,0,11.5,0
2015-09-12,68.0,1014.6,0,12.6,0
2015-09-13,72.86,1006.4,0,17.3,0
2015-09-14,74.84,1003.4,0,16.9,0
2015-09-15,75.2,1003.7,0,16.6,0
2015-09-16,71.42,1005.6,0,15.8,0
2015-09-17,66.38,1009.0,0,21.6,87.0
2015-09-18,61.519999999999996,1013.9,0,19.4,44.0
2015-09-19,60.08,1014.2,0,9.0,0
2015-09-20,67.28,1012.4,0,13.3,0
2015-09-21,69.08000000000001,1010.1,0,13.0,0
2015-09-22,69.08000000000001,1010.4,0,13.3,332.0
2015-09-23,66.74000000000001,0,0,12.2,0
2015-09-24,66.74000000000001,1018.8,0,11.9,0
2015-09-25,65.84,1019.9,0,13.3,0
2015-09-26,66.02,1014.5,0,14.4,184.0
2015-09-27,72.14,1008.9,0,14.4,0
2015-09-28,70.88,1010.4,0,16.2,210.0
2015-09-29,62.96,0,0,21.2,144.0
2015-09-30,64.94,1014.7,0,9.4,244.0
2015-10-01,67.46000000000001,1014.1,0,16.2,0
2015-10-02,65.48,0,0,14.4,0
2015-10-03,55.22,0,0,15.5,0
2015-10-04,53.42,1014.1,0,10.1,0
2015-10-05,53.6,0,0,10.4,0
2015-10-06,54.32,0,0,7.9,0
2015-10-07,57.019999999999996,1017.6,0,11.9,0
2015-10-08,61.7,1018.8,0,15.5,0
2015-10-09,58.1,1022.3,0,8.6,0
2015-10-10,65.84,1014.7,0,16.9,186.0
2015-10-11,70.16,1007.1,0,19.4,257.0
2015-10-12,62.6,1015.4,0,18.0,134.0
2015-10-13,64.75999999999999,0,0,15.5,0
2015-10-14,65.12,1015.1,0,15.5,162.0
2015-10-15,57.019999999999996,1022.3,0,14.4,30.0
2015-10-16,53.06,1022.9,0,14.4,0
2015-10-17,58.82,1017.5,0,15.5,0
2015-10-18,61.34,1012.8,0,11.5,0
2015-10-19,62.24,1009.8,0,13.0,224.0
2015-10-20,59.0,0,0,13.0,0
2015-10-21,50.72,1021.5,0,12.2,45.0
2015-10-22,44.96,1014.4,0,8.3,0
2015-10-23,48.74,1014.8,0,19.1,350.0
2015-10-24,48.74,1020.7,0,14.8,173.0
2015-10-25,51.980000000000004,1018.5,0,13.7,0
2015-10-26,54.32,1012.3,0,14.8,210.0
2015-10-27,49.64,1010.9,0,19.4,0
2015-10-28,43.879999999999995,1012.0,0,12.2,153.0
2015-10-29,45.5,1009.6,0,11.5,0
2015-10-30,45.14,1008.3,0,16.6,285.0
2015-10-31,48.379999999999995,1010.6,0,17.6,0
2015-11-01,56.480000000000004,1010.3,0,16.2,217.0
2015-11-02,55.400000000000006,1006.6,0,15.8,159.0
2015-11-03,59.36,1001.7,0,25.9,194.0
2015-11-04,52.519999999999996,0,0,19.8,340.0
2015-11-05,38.66,0,0,9.4,0
2015-11-06,37.04,1021.9,0,12.6,99.0
2015-11-07,35.6,1025.7,0,15.5,182.0
2015-11-08,42.44,1014.7,0,12.2,0
2015-11-09,43.879999999999995,1011.2,0,14.8,180.0
2015-11-10,47.66,1004.4,0,22.7,227.0
2015-11-11,37.94,1009.5,0,29.9,309.0
2015-11-12,37.76,1022.4,0,15.5,0
2015-11-13,37.76,1021.0,0,14.4,204.0
2015-11-14,44.96,1016.0,0,14.4,197.0
2015-11-15,45.14,1006.7,0,15.1,0
2015-11-16,43.52,997.7,0,23.0,313.0
2015-11-17,33.26,0,0,32.0,332.0
2015-11-18,38.84,1004.5,0,30.6,266.0
2015-11-19,31.28,1017.0,0,10.8,0
2015-11-20,35.42,1016.2,0,19.1,28.0
2015-11-21,22.1,1026.7,0,13.7,186.0
2015-11-22,39.74,1017.4,0,12.2,0
2015-11-23,43.34,1014.4,0,15.8,0
2015-11-24,44.96,1007.1,0,15.5,202.0
2015-11-25,37.58,0,0,19.8,60.0
2015-11-26,23.54,0,0,17.6,60.0
2015-11-27,13.82,0,0,12.2,101.0
2015-11-28,19.04,0,0,7.6,0
2015-11-29,21.38,1021.1,0,6.5,0
2015-11-30,23.36,0,0,12.2,0
2015-12-01,25.52,1015.2,0,16.2,232.0
2015-12-02,33.62,1021.3,0,13.0,0
2015-12-03,35.6,1023.0,0,16.6,182.0
2015-12-04,38.12,1016.0,0,9.0,0
2015-12-05,38.12,1024.2,0,11.2,216.0
2015-12-06,35.42,1026.4,0,15.5,204.0
2015-12-07,41.54,1015.9,0,14.8,182.0
2015-12-08,51.44,1011.1,0,23.8,271.0
2015-12-09,50.0,1006.4,0,21.6,217.0
2015-12-10,52.519999999999996,0,0,25.9,214.0
2015-12-11,46.22,1000.2,0,18.0,0
2015-12-12,30.02,1010.4,0,13.0,8.0
2015-12-13,28.58,0,0,11.9,0
2015-12-14,28.04,999.2,0,13.7,265.0
2015-12-15,22.28,0,0,26.3,339.0
2015-12-16,18.68,1012.9,0,15.8,186.0
2015-12-17,15.98,0,0,15.8,0
2015-12-18,19.759999999999998,1019.0,0,14.4,0
