Date,Temperature
2022-01-12,35.87
2022-01-13,50.25
2022-01-14,48.79
2022-01-15,41.41
2022-01-16,33.1
2022-01-17,35.58
2022-01-18,50.31
2022-01-19,58.32
2022-01-20,40.95
2022-01-20,34.0
2022-01-21,35.65
2022-01-21,37.9
2022-01-22,31.6
2022-01-22,37.0
2022-01-23,46.9
2022-01-23,47.7
2022-01-24,53.1
2022-01-24,53.62
2022-01-25,49.91
2022-01-25,53.1
2022-01-26,31.73
2022-01-26,28.0
2022-01-27,43.77
2022-01-27,43.0
2022-01-28,48.27
2022-01-28,46.0
2022-01-29,37.0
2022-01-30,55.24
2022-01-30,55.0
2022-01-31,46.0
2022-01-31,48.94
