Date,Temperature
2022-01-12,33.44
2022-01-13,42.57
2022-01-14,52.9
2022-01-15,38.07
2022-01-16,28.71
2022-01-17,39.02
2022-01-18,46.38
2022-01-19,52.93
2022-01-20,45.54
2022-01-20,35.6
2022-01-21,31.26
2022-01-21,32.0
2022-01-22,24.71
2022-01-22,26.6
2022-01-23,46.4
2022-01-23,49.26
2022-01-24,51.8
2022-01-24,51.75
2022-01-25,48.78
2022-01-25,48.2
2022-01-26,27.09
2022-01-26,26.6
2022-01-27,37.17
2022-01-27,33.8
2022-01-28,45.77
2022-01-28,44.6
2022-01-29,37.0
2022-01-30,49.35
2022-01-30,46.4
2022-01-31,48.81
2022-01-31,46.0
2022-01-31,48.81
