Date,Temperature
2022-01-12,32.13
2022-01-13,47.84
2022-01-14,54.75
2022-01-15,41.2
2022-01-16,34.09
2022-01-17,43.47
2022-01-18,50.22
2022-01-19,58.26
2022-01-20,50.61
2022-01-20,45.0
2022-01-21,33.1
2022-01-21,31.91
2022-01-22,28.71
2022-01-22,32.0
2022-01-23,52.0
2022-01-23,52.83
2022-01-24,53.1
2022-01-24,53.78
2022-01-25,50.52
2022-01-25,54.0
2022-01-26,33.12
2022-01-26,35.1
2022-01-27,40.51
2022-01-27,39.0
2022-01-28,44.47
2022-01-28,42.1
2022-01-29,43.0
2022-01-30,53.65
2022-01-30,53.1
2022-01-31,48.0
2022-01-31,53.78
