Date,Temperature
2020-01-01,44.78
2020-01-02,47.3
2020-01-03,55.58
2020-01-04,56.480000000000004
2020-01-05,40.64
2020-01-06,48.019999999999996
2020-01-07,53.24
2020-01-08,47.3
2020-01-09,49.28
2020-01-10,57.56
2020-01-11,64.58000000000001
2020-01-12,59.72
2020-01-13,62.42
2020-01-14,62.78
2020-01-15,62.24
2020-01-16,62.24
2020-01-17,50.540000000000006
2020-01-18,46.4
2020-01-19,48.379999999999995
2020-01-20,32.36
2020-01-21,30.38
2020-01-22,34.7
2020-01-23,42.44
2020-01-24,46.22
2020-01-25,42.26
2020-01-26,40.46
2020-01-27,48.379999999999995
2020-01-28,46.04
2020-01-29,47.66
2020-01-30,48.019999999999996
2020-01-31,43.879999999999995
2021-01-01,60.26
2021-01-02,60.26
2021-01-03,49.1
2021-01-04,43.52
2021-01-05,49.82
2021-01-06,43.34
2021-01-07,42.44
2021-01-08,40.1
2021-01-09,36.86
2021-01-10,35.96
2021-01-11,42.26
2021-01-12,41.72
2021-01-13,38.480000000000004
2021-01-14,41.72
2021-01-15,48.56
2021-01-16,39.56
2021-01-17,39.74
2021-01-18,43.52
2021-01-19,45.14
2021-01-20,50.900000000000006
2021-01-21,48.2
2021-01-22,48.92
2021-01-23,46.58
2021-01-24,50.18
2021-01-25,54.68
2021-01-26,65.48
2021-01-27,55.94
2021-01-28,42.44
2021-01-29,38.12
2021-01-30,41.18
2021-01-31,44.24
