date,temperature,pressure,pattern,wind_speed,wind_degree
2016-01-01,61.34,1019.6,N/A,7.6,None
2016-01-02,50.18,1022.2,N/A,5.4,None
2016-01-03,41.36,1016.7,N/A,2.5,None
2016-01-04,43.16,1019.5,N/A,12.2,None
2016-01-05,36.32,1033.3,N/A,10.8,None
2016-01-06,36.14,1031.3,N/A,9.4,None
2016-01-07,47.66,1021.6,N/A,9.4,None
2016-01-08,48.56,1017.8,N/A,9.4,None
2016-01-09,49.82,None,N/A,8.3,None
2016-01-10,54.86,1008.8,N/A,22.0,241.0
2016-01-11,39.74,1021.1,N/A,6.8,None
2016-01-12,39.019999999999996,1019.3,N/A,14.8,None
2016-01-13,42.44,1021.3,N/A,4.7,None
2016-01-14,42.26,1020.1,N/A,7.2,None
2016-01-15,45.5,1006.4,N/A,13.3,None
2016-01-16,53.78,1007.7,N/A,14.8,None
2016-01-17,45.68,1010.3,N/A,9.4,347.0
2016-01-18,39.74,1020.0,N/A,16.6,270.0
2016-01-19,31.1,1028.5,N/A,6.1,None
2016-01-20,33.8,1026.4,N/A,4.3,None
2016-01-21,42.980000000000004,1023.0,N/A,6.8,None
2016-01-22,40.28,1011.1,N/A,16.6,41.0
2016-01-23,34.34,1006.9,N/A,17.3,311.0
2016-01-24,38.12,1020.2,N/A,4.7,None
2016-01-25,39.92,1024.8,N/A,4.3,None
2016-01-26,47.66,1022.7,N/A,5.8,None
2016-01-27,54.68,1018.2,N/A,7.2,None
2016-01-28,48.74,1013.2,N/A,4.7,None
2016-01-29,47.120000000000005,None,N/A,11.9,None
2016-01-30,45.32,1019.9,N/A,5.8,None
2016-01-31,49.28,1018.8,N/A,5.4,None
2016-02-01,60.08,1015.6,N/A,9.0,None
2016-02-02,60.980000000000004,1019.2,N/A,9.7,None
2016-02-03,66.56,1014.9,N/A,16.2,165.0
2016-02-04,60.26,1015.1,N/A,7.9,None
2016-02-05,49.82,1024.9,N/A,11.5,None
2016-02-06,38.84,1027.2,N/A,8.3,None
2016-02-07,47.3,1016.6,N/A,11.5,347.0
2016-02-08,41.36,1008.8,N/A,9.7,None
2016-02-09,39.38,1009.1,N/A,24.5,260.0
2016-02-10,33.62,1016.6,N/A,22.0,265.0
2016-02-11,37.94,1022.2,N/A,5.4,None
2016-02-12,41.54,1019.9,N/A,6.1,350.0
2016-02-13,39.56,1024.4,N/A,10.4,None
2016-02-14,33.26,1030.5,N/A,14.4,72.0
2016-02-15,36.32,1021.9,N/A,10.4,57.0
2016-02-16,50.72,None,N/A,11.5,None
2016-02-17,50.18,1018.2,N/A,9.0,292.0
2016-02-18,45.32,1029.8,N/A,5.0,None
2016-02-19,45.14,1030.7,N/A,7.6,None
2016-02-20,55.22,1023.7,N/A,9.4,None
2016-02-21,60.26,1017.8,N/A,12.2,None
2016-02-22,61.88,None,N/A,6.5,None
2016-02-23,58.64,None,N/A,12.6,77.0
2016-02-24,63.31999999999999,1002.6,N/A,28.4,188.0
2016-02-25,51.26,1012.3,N/A,29.2,263.0
2016-02-26,45.14,1020.3,N/A,13.3,None
2016-02-27,42.620000000000005,1023.4,N/A,4.0,None
2016-02-28,49.28,1021.3,N/A,10.1,None
2016-02-29,58.64,1017.2,N/A,13.7,243.0
2016-03-01,58.82,1015.6,N/A,13.0,None
2016-03-02,59.72,1014.8,N/A,16.2,280.0
2016-03-03,48.74,1019.8,N/A,13.3,63.0
2016-03-04,48.379999999999995,1016.6,N/A,10.1,None
2016-03-05,47.66,1021.0,N/A,3.6,None
2016-03-06,53.24,1022.7,N/A,6.5,None
2016-03-07,51.08,1026.5,N/A,4.7,None
2016-03-08,60.26,1024.6,N/A,6.5,None
2016-03-09,64.94,1023.8,N/A,11.2,None
2016-03-10,68.18,1022.8,N/A,12.2,None
2016-03-11,72.14,1021.6,N/A,9.7,None
2016-03-12,69.80000000000001,None,N/A,7.9,None
2016-03-13,71.24000000000001,None,N/A,13.3,None
2016-03-14,72.68,1009.9,N/A,13.0,None
2016-03-15,70.88,1010.6,N/A,9.0,None
2016-03-16,72.68,1010.8,N/A,14.4,None
2016-03-17,68.18,1012.4,N/A,6.1,None
2016-03-18,67.82,1013.2,N/A,7.2,None
2016-03-19,67.46000000000001,1011.1,N/A,9.0,None
2016-03-20,53.78,1013.0,N/A,9.7,None
2016-03-21,50.18,1019.7,N/A,12.6,296.0
2016-03-22,51.26,1024.6,N/A,7.6,None
