date,temperature,pressure,pattern,wind_speed,wind_degree
2015-01-01,20.12,0,0,1.7,0
2015-01-02,26.24,0,0,3.0,0
2015-01-03,20.479999999999997,0,0,7.5,0
2015-01-04,12.2,0,0,3.6,0
2015-01-05,32.18,0,0,9.5,0
2015-01-06,38.66,0,0,9.1,0
2015-01-07,21.38,0,0,5.7,0
2015-01-08,44.6,0,0,15.9,0
2015-01-09,22.46,0,0,3.3,0
2015-01-10,35.24,0,0,3.3,0
2015-01-11,35.24,0,0,4.5,0
2015-01-12,24.8,0,0,4.7,0
2015-01-13,28.94,0,0,0.7,0
2015-01-14,32.72,0,0,0.9,0
2015-01-15,37.76,0,0,3.4,0
2015-01-16,0,0,0,0,0
2015-01-17,46.22,0,0,19.4,0
2015-01-18,52.879999999999995,0,0,18.1,0
2015-01-19,48.56,0,0,12.1,0
2015-01-20,35.6,0,0,4.7,0
2015-01-21,28.4,0,0,4.1,0
2015-01-22,27.14,0,0,3.8,0
2015-01-23,35.96,0,0,4.5,0
2015-01-24,44.6,0,0,19.9,0
2015-01-25,45.5,0,0,10.3,0
2015-01-26,54.5,0,0,6.3,0
2015-01-27,56.480000000000004,0,0,4.8,0
2015-01-28,51.8,0,0,16.4,0
2015-01-29,39.92,0,0,4.7,0
2015-01-30,39.38,0,0,1.3,0
2015-01-31,35.24,0,0,2.9,0
2015-02-01,25.16,0,0,3.1,0
2015-02-02,34.16,0,0,7.1,0
2015-02-03,50.18,0,0,10.1,0
2015-02-04,31.46,0,0,7.2,0
2015-02-05,45.5,0,0,10.3,0
2015-02-06,55.94,0,0,9.9,0
2015-02-07,59.540000000000006,0,0,18.9,0
2015-02-08,56.66,0,0,21.5,0
2015-02-09,50.900000000000006,0,0,9.8,0
2015-02-10,50.900000000000006,0,0,12.7,0
2015-02-11,41.0,0,0,6.8,0
2015-02-12,42.8,0,0,5.2,0
2015-02-13,48.379999999999995,0,0,4.1,0
2015-02-14,46.22,0,0,5.0,0
2015-02-15,0,0,0,0,0
2015-02-16,0,0,0,0,0
2015-02-17,26.78,0,0,6.9,0
2015-02-18,31.46,0,0,3.9,0
2015-02-19,43.52,0,0,10.4,0
2015-02-20,40.28,0,0,11.4,0
2015-02-21,27.86,0,0,10.4,0
2015-02-22,13.099999999999998,0,0,5.7,0
2015-02-23,13.82,0,0,1.9,0
2015-02-24,30.2,0,0,3.6,0
2015-02-25,36.5,0,0,14.8,0
2015-02-26,16.7,0,0,6.4,0
2015-02-27,0,0,0,0,0
2015-02-28,16.7,0,0,3.6,0
2015-03-01,23.0,0,0,1.5,0
2015-03-02,27.14,0,0,3.7,0
2015-03-03,27.86,0,0,11.3,0
2015-03-04,0,0,0,0,0
2015-03-05,20.66,0,0,3.3,0
2015-03-06,35.6,0,0,4.9,0
2015-03-07,40.1,0,0,5.2,0
2015-03-08,0,0,0,0,0
2015-03-09,44.42,0,0,5.7,0
2015-03-10,47.66,0,0,4.4,0
2015-03-11,49.82,0,0,3.3,0
2015-03-12,53.6,0,0,6.8,0
2015-03-13,50.540000000000006,0,0,6.9,0
2015-03-14,52.519999999999996,0,0,6.0,0
2015-03-15,63.14,0,0,6.9,0
2015-03-16,61.88,0,0,9.6,0
2015-03-17,44.24,0,0,6.6,0
2015-03-18,47.480000000000004,0,0,2.6,0
2015-03-19,44.24,0,0,6.1,0
2015-03-20,49.64,0,0,6.2,0
2015-03-21,55.22,0,0,5.3,0
2015-03-22,58.64,0,0,9.7,0
2015-03-23,51.44,0,0,10.2,0
2015-03-24,51.620000000000005,0,0,13.8,0
2015-03-25,39.74,0,0,5.9,0
2015-03-26,46.4,0,0,12.1,0
2015-03-27,0,0,0,0,0
2015-03-28,63.14,0,0,12.8,0
2015-03-29,55.040000000000006,0,0,12.4,153.0
2015-03-30,57.019999999999996,0,0,10.5,0
2015-03-31,61.16,0,0,7.1,0
2015-04-01,59.36,0,0,13.1,0
2015-04-02,37.4,0,0,9.9,0
2015-04-03,36.32,0,0,4.9,0
2015-04-04,44.78,0,0,3.1,0
2015-04-05,54.5,0,0,5.8,0
2015-04-06,58.46,0,0,7.0,0
2015-04-07,50.540000000000006,0,0,6.2,0
2015-04-08,49.28,0,0,6.9,0
2015-04-09,43.879999999999995,0,0,8.3,0
2015-04-10,47.3,0,0,5.6,0
2015-04-11,55.94,0,0,8.1,0
2015-04-12,57.56,0,0,16.7,0
2015-04-13,50.72,0,0,4.7,0
2015-04-14,58.1,0,0,6.4,0
2015-04-15,49.28,0,0,12.3,0
2015-04-16,35.24,0,0,2.8,0
2015-04-17,40.28,0,0,11.8,0
2015-04-18,42.8,0,0,5.9,0
2015-04-19,42.980000000000004,0,0,8.1,0
2015-04-20,43.16,0,0,6.0,0
2015-04-21,50.72,0,0,5.5,0
2015-04-22,52.7,0,0,8.5,0
2015-04-23,57.56,0,0,9.1,0
2015-04-24,53.96,0,0,8.5,0
2015-04-25,53.42,0,0,5.9,0
2015-04-26,43.34,0,0,6.4,0
2015-04-27,42.08,0,0,5.3,0
2015-04-28,49.64,0,0,4.0,0
2015-04-29,57.56,0,0,4.8,0
2015-04-30,63.86,0,0,8.2,0
2015-05-01,54.68,0,0,5.5,0
2015-05-02,60.620000000000005,0,0,7.2,0
2015-05-03,62.06,0,0,8.1,0
2015-05-04,51.44,0,0,5.0,0
2015-05-05,50.18,0,0,7.0,0
2015-05-06,53.78,0,0,4.6,0
2015-05-07,49.1,0,0,5.8,0
2015-05-08,45.68,0,0,6.7,0
2015-05-09,42.08,0,0,11.6,0
2015-05-10,37.22,0,0,7.0,0
2015-05-11,44.96,0,0,7.4,0
2015-05-12,50.900000000000006,0,0,4.9,0
2015-05-13,54.32,0,0,6.5,0
2015-05-14,57.019999999999996,0,0,6.4,0
2015-05-15,0,0,0,0,0
2015-05-16,52.16,0,0,7.5,0
2015-05-17,56.120000000000005,0,0,8.9,0
2015-05-18,45.68,0,0,4.8,0
2015-05-19,43.7,0,0,9.2,0
2015-05-20,39.38,0,0,4.9,0
2015-05-21,45.86,0,0,2.6,0
2015-05-22,49.1,0,0,4.4,0
2015-05-23,49.82,0,0,5.6,0
2015-05-24,49.28,0,0,3.8,0
2015-05-25,51.8,0,0,5.8,0
2015-05-26,56.3,0,0,5.1,0
2015-05-27,62.24,0,0,5.2,0
2015-05-28,61.7,0,0,8.1,0
2015-05-29,0,0,0,0,0
2015-05-30,59.18,0,0,4.9,0
2015-05-31,68.36,0,0,8.1,0
2015-06-01,68.0,0,0,7.5,0
2015-06-02,70.34,0,0,5.5,0
2015-06-03,64.4,0,0,6.1,0
2015-06-04,65.48,0,0,4.4,0
2015-06-05,61.519999999999996,0,0,5.8,0
2015-06-06,62.6,0,0,6.2,0
2015-06-07,64.03999999999999,0,0,7.7,0
2015-06-08,67.64,0,0,3.5,0
2015-06-09,73.03999999999999,0,0,7.6,0
2015-06-10,66.92,0,0,3.1,0
2015-06-11,62.24,0,0,7.3,0
2015-06-12,62.06,0,0,2.6,0
2015-06-13,68.0,0,0,7.5,0
2015-06-14,70.52,0,0,4.2,0
2015-06-15,63.31999999999999,0,0,3.3,0
2015-06-16,0,0,0,0,0
2015-06-17,0,0,0,0,0
2015-06-18,69.44,0,0,5.6,0
2015-06-19,76.1,0,0,3.9,0
2015-06-20,0,0,0,0,0
2015-06-21,76.46000000000001,0,0,3.6,0
2015-06-22,71.78,0,0,7.0,0
2015-06-23,72.14,0,0,5.4,0
2015-06-24,72.86,0,0,9.4,0
2015-06-25,71.24000000000001,0,0,8.2,0
2015-06-26,0,0,0,0,0
2015-06-27,71.96000000000001,0,0,2.6,0
2015-06-28,0,0,0,0,0
2015-06-29,74.30000000000001,0,0,4.1,0
2015-06-30,76.46000000000001,0,0,7.2,0
2015-07-01,74.12,0,0,3.9,0
2015-07-02,68.72,0,0,6.5,0
2015-07-03,69.98,0,0,3.3,0
2015-07-04,74.48,0,0,9.2,0
2015-07-05,74.12,0,0,7.7,0
2015-07-06,60.8,0,0,3.5,0
2015-07-07,61.34,0,0,1.7,0
2015-07-08,60.08,0,0,4.2,0
2015-07-09,62.42,0,0,6.0,0
2015-07-10,71.78,0,0,9.4,0
2015-07-11,70.88,0,0,5.9,0
2015-07-12,75.92,0,0,6.0,0
2015-07-13,71.96000000000001,0,0,8.3,0
2015-07-14,69.98,0,0,6.2,0
2015-07-15,69.62,0,0,4.3,0
2015-07-16,71.6,0,0,8.2,0
2015-07-17,76.64,0,0,11.1,0
2015-07-18,69.25999999999999,0,0,5.2,0
2015-07-19,67.28,0,0,4.8,0
2015-07-20,71.96000000000001,0,0,7.7,0
2015-07-21,66.92,0,0,8.0,0
2015-07-22,72.5,0,0,6.2,0
2015-07-23,78.25999999999999,0,0,9.0,0
2015-07-24,75.2,0,0,7.2,0
2015-07-25,78.44,0,0,3.9,0
2015-07-26,74.84,0,0,6.1,0
2015-07-27,76.64,0,0,6.6,0
2015-07-28,73.4,0,0,10.9,0
2015-07-29,70.7,0,0,6.6,0
